country,file,stem,recode,women_health_category,women_health_role,phase_version,variables,catalog_filename,survey_id,data_label
Moçambique,MZIR51FL.DTA,MZIR51FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,51,1194,MZIR51DT.zip,322,
Moçambique,MZIR62FL.DTA,MZIR62FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,62,4226,MZIR62DT.zip,362,
Moçambique,MZIR71FL.DTA,MZIR71FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,71,4861,MZIR71DT.zip,467,
Moçambique,MZIR7AFL.DTA,MZIR7AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,7A,1479,MZIR7ADT.zip,527,
Moçambique,MZIR82FL.dta,MZIR82FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,82,6513,MZIR82DT.zip,564,
Namíbia,NMIR21FL.DTA,NMIR21FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,21,2803,NMIR21DT.zip,48,
Namíbia,NMIR41FL.DTA,NMIR41FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,41,3502,NMIR41DT.zip,205,
Namíbia,nmir51fl.dta,NMIR51FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,51,4021,NMIR51DT.zip,284,
Namíbia,NMIR61FL.DTA,NMIR61FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,61,4182,NMIR61DT.zip,363,
Nigéria,NGIR21FL.DTA,NGIR21FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,21,2149,NGIR21DT.zip,32,
Nigéria,NGIR4BFL.DTA,NGIR4BFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,4B,3696,NGIR4BDT.zip,223,
Nigéria,NGIR53FL.DTA,NGIR53FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,53,4313,NGIR53DT.zip,302,
Nigéria,NGIR61FL.DTA,NGIR61FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,61,1301,NGIR61DT.zip,392,
Nigéria,NGIR6AFL.DTA,NGIR6AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,6A,4618,NGIR6ADT.zip,438,
Nigéria,NGIR71FL.DTA,NGIR71FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,71,3293,NGIR71DT.zip,474,
Nigéria,NGIR7BFL.DTA,NGIR7BFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,7B,5394,NGIR7BDT.zip,528,
Nigéria,NGIR81FL.DTA,NGIR81FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,81,1649,NGIR81DT.zip,576,
