variable,country_count,file_count,labels,themes
b6_15,37,193,NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | b6$16 | na - age at death,demografia | outros
b6_16,37,192,NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | na - age at death,demografia | outros
b6_17,37,192,NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | b6$18 | na - age at death,demografia | outros
b6_18,37,192,NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | na - age at death,demografia | outros
b6_19,37,192,"NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | b6$20    ""age at death"" | b6$20    'age at death' | na - age at death",demografia
b6_20,37,192,NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | na - age at death,demografia | outros
b7_01,37,193,"NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | b7$02 | na - age at death (months, imputed)",demografia | outros
b7_02,37,193,"NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | na - age at death (months, imputed)",demografia | outros
b7_03,37,193,"NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | b7$04 | na - age at death (months, imputed)",demografia | outros
b7_04,37,193,"NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | na - age at death (months, imputed)",demografia | outros
b7_05,37,193,"NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | b7$06 | na - age at death (months, imputed)",demografia | outros
b7_06,37,193,"NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | na - age at death (months, imputed)",demografia | outros
b7_07,37,193,"NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | b7$08 | na - age at death (months, imputed)",demografia | outros
b7_08,37,193,"NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | na - age at death (months, imputed)",demografia | outros
b7_09,37,193,"NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | b7$10 | na - age at death (months, imputed)",demografia | outros
b7_10,37,193,"NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | na - age at death (months, imputed)",demografia | outros
b7_11,37,193,"NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | b7$12 | na - age at death (months, imputed)",demografia | outros
b7_12,37,193,"NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | na - age at death (months, imputed)",demografia | outros
b7_13,37,193,"NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | b7$14 | na - age at death (months, imputed)",demografia | outros
b7_14,37,193,"NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | na - age at death (months, imputed)",demografia | outros
b7_15,37,193,"NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | b7$16 | na - age at death (months, imputed)",demografia | outros
b7_16,37,192,"NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | na - age at death (months, imputed)",demografia | outros
b7_17,37,192,"NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | b7$18 | na - age at death (months, imputed)",demografia | outros
b7_18,37,192,"NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | na - age at death (months, imputed)",demografia | outros
b7_19,37,192,"NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | b7$20    ""age at death (months-imputed)"" | b7$20    'age at death (months-imputed)' | b7$20    'age at death months(imputed)' | na - age at death (months, imputed)",demografia
b7_20,37,192,"NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | na - age at death (months, imputed)",demografia | outros
b8_01,37,198,Current age of child | b8$02 | current age of child,historia_reprodutiva | outros
b8_02,37,198,Current age of child | current age of child,historia_reprodutiva | outros
b8_03,37,198,Current age of child | b8$04 | current age of child,historia_reprodutiva | outros
b8_04,37,198,Current age of child | current age of child,historia_reprodutiva | outros
b8_05,37,198,Current age of child | b8$06 | current age of child,historia_reprodutiva | outros
b8_06,37,198,Current age of child | current age of child,historia_reprodutiva | outros
b8_07,37,198,Current age of child | b8$08 | current age of child,historia_reprodutiva | outros
b8_08,37,198,Current age of child | current age of child,historia_reprodutiva | outros
b8_09,37,198,Current age of child | b8$10 | current age of child,historia_reprodutiva | outros
b8_10,37,198,Current age of child | current age of child,historia_reprodutiva | outros
b8_11,37,198,Current age of child | b8$12 | current age of child,historia_reprodutiva | outros
b8_12,37,198,Current age of child | current age of child,historia_reprodutiva | outros
b8_13,37,198,Current age of child | b8$14 | current age of child,historia_reprodutiva | outros
b8_14,37,198,Current age of child | current age of child,historia_reprodutiva | outros
b8_15,37,198,Current age of child | b8$16 | current age of child,historia_reprodutiva | outros
b8_16,37,197,Current age of child | current age of child,historia_reprodutiva | outros
b8_17,37,197,Current age of child | b8$18 | current age of child,historia_reprodutiva | outros
b8_18,37,197,Current age of child | current age of child,historia_reprodutiva | outros
b8_19,37,197,"Current age of child | b8$20    ""current age of child"" | b8$20    'current age of child' | current age of child",historia_reprodutiva
b8_20,37,197,Current age of child | current age of child,historia_reprodutiva | outros
b9_01,37,198,Child lives with whom | b9$02 | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_02,37,198,Child lives with whom | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_03,37,198,Child lives with whom | b9$04 | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_04,37,198,Child lives with whom | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_05,37,198,Child lives with whom | b9$06 | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_06,37,198,Child lives with whom | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_07,37,198,Child lives with whom | b9$08 | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_08,37,198,Child lives with whom | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_09,37,198,Child lives with whom | b9$10 | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_10,37,198,Child lives with whom | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_11,37,198,Child lives with whom | b9$12 | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_12,37,198,Child lives with whom | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_13,37,198,Child lives with whom | b9$14 | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_14,37,198,Child lives with whom | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_15,37,198,Child lives with whom | b9$16 | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_16,37,197,Child lives with whom | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_17,37,197,Child lives with whom | b9$18 | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_18,37,197,Child lives with whom | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_19,37,197,"Child lives with whom | b9$20    ""child lives with respondent"" | b9$20    'child lives with respondent' | child lives with respondent | child lives with whom | who child lives with",historia_reprodutiva
b9_20,37,197,Child lives with whom | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
bidx_01,37,198,Birth column number | bidx$02 | birth column number,historia_reprodutiva | outros
bidx_02,37,198,Birth column number | birth column number,historia_reprodutiva | outros
bidx_03,37,198,Birth column number | bidx$04 | birth column number,historia_reprodutiva | outros
bidx_04,37,198,Birth column number | birth column number,historia_reprodutiva | outros
bidx_05,37,198,Birth column number | bidx$06 | birth column number,historia_reprodutiva | outros
bidx_06,37,198,Birth column number | birth column number,historia_reprodutiva | outros
bidx_07,37,198,Birth column number | bidx$08 | birth column number,historia_reprodutiva | outros
bidx_08,37,198,Birth column number | birth column number,historia_reprodutiva | outros
bidx_09,37,198,Birth column number | bidx$10 | birth column number,historia_reprodutiva | outros
bidx_10,37,198,Birth column number | birth column number,historia_reprodutiva | outros
bidx_11,37,198,Birth column number | bidx$12 | birth column number,historia_reprodutiva | outros
bidx_12,37,198,Birth column number | birth column number,historia_reprodutiva | outros
bidx_13,37,198,Birth column number | bidx$14 | birth column number,historia_reprodutiva | outros
bidx_14,37,198,Birth column number | birth column number,historia_reprodutiva | outros
bidx_15,37,198,Birth column number | bidx$16 | birth column number,historia_reprodutiva | outros
bidx_16,37,197,Birth column number | birth column number,historia_reprodutiva | outros
bidx_17,37,197,Birth column number | bidx$18 | birth column number,historia_reprodutiva | outros
