normalized_label,country_count,variable_count,countries,variables,examples
acceptable to discuss aids on radio,16,1,Benin | Burkina Faso | Chade | Etiópia | Gana | Guiné | Lesoto | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Ruanda | Tanzânia | Zimbábue,v759a,acceptable to discuss aids -na on radio | acceptable to discuss aids on radio | na - acceptable to discuss aids on radio | na-acceptable to discuss aids on radio
acceptable to discuss aids on tv,16,1,Benin | Burkina Faso | Chade | Etiópia | Gana | Guiné | Lesoto | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Ruanda | Tanzânia | Zimbábue,v759b,acceptable to discuss aids -na on tv | acceptable to discuss aids on tv | na - acceptable to discuss aids on tv | na-acceptable to discuss aids on tv
acceptable to discuss aids peer educators cs,1,1,Madagascar,v759f,acceptable to discuss aids: peer educators (cs)
acceptable to discuss aids posters,1,1,Mali,v759d,acceptable to discuss aids: posters
acceptable to discuss aids posters cs,1,1,Madagascar,v759e,acceptable to discuss aids: posters (cs)
acceptable to discuss aids protector times,1,1,Madagascar,v759d,acceptable to discuss aids: protector times
acceptable to discuss aids school,1,1,Benin,v759g,acceptable to discuss aids: school
acceptable to discuss family planning fp at place of worship mosque church,1,1,Benin,s715g,"acceptable to discuss family planning fp at place of worship (mosque, church)"
acceptable to discuss family planning fp at school,1,1,Benin,s715h,acceptable to discuss family planning fp at school
acceptable to discuss family planning fp in cultural educational presentation,1,1,Benin,s715f,acceptable to discuss family planning fp in cultural/educational presentation
acceptable to discuss family planning fp in newspaper or magazine,1,1,Benin,s715c,acceptable to discuss family planning fp in newspaper or magazine
acceptable to discuss family planning fp in prospectus brochure,1,1,Benin,s715e,acceptable to discuss family planning fp in prospectus/brochure
acceptable to discuss family planning fp on radio,1,1,Benin,s715a,acceptable to discuss family planning fp on radio
acceptable to discuss family planning fp on tv,1,1,Benin,s715b,acceptable to discuss family planning fp on tv
acceptable to discuss family planning in brochures,1,1,Burkina Faso,s618e,acceptable to discuss family planning in brochures
acceptable to discuss family planning in educational theatre,1,1,Burkina Faso,s618f,acceptable to discuss family planning in educational theatre
acceptable to discuss family planning in fp poster,1,1,Benin,s715d,acceptable to discuss family planning in fp poster
acceptable to discuss family planning in newspapers,1,1,Burkina Faso,s618c,acceptable to discuss family planning in newspapers
acceptable to discuss family planning in school,1,1,Burkina Faso,s618g,acceptable to discuss family planning in school
acceptable to discuss family planning on posters,1,1,Burkina Faso,s618d,acceptable to discuss family planning on posters
acceptable to discuss family planning on the radio,1,1,Burkina Faso,s618a,acceptable to discuss family planning on the radio
acceptable to discuss family planning on the television,1,1,Burkina Faso,s618b,acceptable to discuss family planning on the television
acceptable to have fp info in a newspaper or magazine,1,1,Tanzânia,s715bc,acceptable to have fp info in a newspaper or magazine
acceptable to have fp info on the radio,1,1,Tanzânia,s715ba,acceptable to have fp info on the radio
acceptable to have fp info on the tv,1,1,Tanzânia,s715bb,acceptable to have fp info on the tv
acceptable to speak with partner about aids avoidance,1,1,Lesoto,s829,acceptable to speak with partner about aids avoidance
acceptable to talk about aids in newspapers,1,1,Gabão,s816c,acceptable to talk about aids in newspapers
acceptable to talk about aids in religious places,1,1,Gabão,s816e,acceptable to talk about aids in religious places
acceptable to talk about aids on posters,1,1,Gabão,s816d,acceptable to talk about aids on posters
acceptable to talk about aids on the radio,1,1,Gabão,s816a,acceptable to talk about aids on the radio
acceptable to talk about aids on tv,1,1,Gabão,s816b,acceptable to talk about aids on tv
accepted to be interviewed about children s death under age 5,2,2,Nigéria | Tanzânia,s1332b | s1434,accepted to be interviewed about children's death under age 5
access difficulty,1,1,Mali,s321e,access difficulty
access to source,1,1,Gana,s326c,access to source
accoucheuses traditionelles,1,1,Burundi,cc16,accoucheuses traditionelles
acetaminophen,1,6,Senegal,h37l_1 | h37l_2 | h37l_3 | h37l_4 | h37l_5 | h37l_6,acetaminophen | na-acetaminophen
acetaminophen paracetamol p,1,6,Ruanda,h37l_1 | h37l_2 | h37l_3 | h37l_4 | h37l_5 | h37l_6,acetaminophen/paracetamol/p-na
acetaminophen paracetamol panadol taken for fever,29,12,Angola | Benin | Burkina Faso | Burundi | Camarões | Congo (República Democrática) | Costa do Marfim | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Nigéria | Níger | Quênia | Ruanda | Senegal | Serra Leoa | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,h37l_1 | h37l_2 | h37l_3 | h37l_4 | h37l_5 | h37l_6 | ml13l_1 | ml13l_2 | ml13l_3 | ml13l_4 | ml13l_5 | ml13l_6,acetaminophen/paracetamol/panadol taken for fever | na - acetaminophen/paracetamol/panadol taken for fever
acetaminophen paracetamol panadol taken for fever cough,29,18,Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | Ruanda | Senegal | Serra Leoa | Togo | Zimbábue | Zâmbia,h37l_1 | h37l_2 | h37l_3 | h37l_4 | h37l_5 | h37l_6 | ml13l_1 | ml13l_2 | ml13l_3 | ml13l_4 | ml13l_5 | ml13l_6 | s412n_1 | s412n_2 | s412n_3 | s412n_4 | s412n_5 | s412n_6,Acetaminophen/paracetamol/panadol taken for fever/cough | NA - Acetaminophen/paracetamol/panadol taken for fever/cough | acetaminophen/paracetamol/panadol taken for fever/cough | acetaminophen/paracetamol/panadol taken for fever/cough  -na | na - acetaminophen/paracetamol/panadol taken for fever/cough | na-acetaminophen/paracetamol/panadol taken for fever/cough
acetaminophen paracetemol taken for fever cough,1,6,Libéria,h37l_1 | h37l_2 | h37l_3 | h37l_4 | h37l_5 | h37l_6,acetaminophen (paracetemol) taken for fever/cough
acetaminophen taken for cough,1,6,Moçambique,s324g_1 | s324g_2 | s324g_3 | s324g_4 | s324g_5 | s324g_6,acetaminophen taken for cough
