filename,country_code,country_name,recode_code,recode_name,recode_description,category_folder,phase_version,format,surv_id,url,relative_path
RWKR81DT.zip,RW,Ruanda,KR,Crianças (Children's Recode),"Crianças menores de 5 anos de idade, vacinação, nutrição, amamentação e episódios de doenças.",Criancas_KR,81,Stata (.dta),554,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWKR81DT.zip&Tp=1&Ctry_Code=RW&surv_id=554&dm=1&dmode=nm,Ruanda/Criancas_KR/RWKR81DT.zip
RWKR8ADT.zip,RW,Ruanda,KR,Crianças (Children's Recode),"Crianças menores de 5 anos de idade, vacinação, nutrição, amamentação e episódios de doenças.",Criancas_KR,8A,Stata (.dta),607,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWKR8ADT.zip&Tp=1&Ctry_Code=RW&surv_id=607&dm=1&dmode=nm,Ruanda/Criancas_KR/RWKR8ADT.zip
RWKR91DT.zip,RW,Ruanda,KR,Crianças (Children's Recode),"Crianças menores de 5 anos de idade, vacinação, nutrição, amamentação e episódios de doenças.",Criancas_KR,91,Stata (.dta),624,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWKR91DT.zip&Tp=1&Ctry_Code=RW&surv_id=624&dm=1&dmode=nm,Ruanda/Criancas_KR/RWKR91DT.zip
RWMR21DT.zip,RW,Ruanda,MR,Homens (Men's Recode),"Dados individuais de homens (15-49/59 anos), trabalho, saúde e conhecimentos reprodutivos.",Homens_MR,21,Stata (.dta),43,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWMR21DT.zip&Tp=1&Ctry_Code=RW&surv_id=43&dm=1&dmode=nm,Ruanda/Homens_MR/RWMR21DT.zip
RWMR41DT.zip,RW,Ruanda,MR,Homens (Men's Recode),"Dados individuais de homens (15-49/59 anos), trabalho, saúde e conhecimentos reprodutivos.",Homens_MR,41,Stata (.dta),165,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWMR41DT.zip&Tp=1&Ctry_Code=RW&surv_id=165&dm=1&dmode=nm,Ruanda/Homens_MR/RWMR41DT.zip
RWMR53DT.zip,RW,Ruanda,MR,Homens (Men's Recode),"Dados individuais de homens (15-49/59 anos), trabalho, saúde e conhecimentos reprodutivos.",Homens_MR,53,Stata (.dta),252,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWMR53DT.zip&Tp=1&Ctry_Code=RW&surv_id=252&dm=1&dmode=nm,Ruanda/Homens_MR/RWMR53DT.zip
RWMR5ADT.zip,RW,Ruanda,MR,Homens (Men's Recode),"Dados individuais de homens (15-49/59 anos), trabalho, saúde e conhecimentos reprodutivos.",Homens_MR,5A,Stata (.dta),323,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWMR5ADT.zip&Tp=1&Ctry_Code=RW&surv_id=323&dm=1&dmode=nm,Ruanda/Homens_MR/RWMR5ADT.zip
RWMR61DT.zip,RW,Ruanda,MR,Homens (Men's Recode),"Dados individuais de homens (15-49/59 anos), trabalho, saúde e conhecimentos reprodutivos.",Homens_MR,61,Stata (.dta),364,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWMR61DT.zip&Tp=1&Ctry_Code=RW&surv_id=364&dm=1&dmode=nm,Ruanda/Homens_MR/RWMR61DT.zip
RWMR70DT.zip,RW,Ruanda,MR,Homens (Men's Recode),"Dados individuais de homens (15-49/59 anos), trabalho, saúde e conhecimentos reprodutivos.",Homens_MR,70,Stata (.dta),468,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWMR70DT.zip&Tp=1&Ctry_Code=RW&surv_id=468&dm=1&dmode=nm,Ruanda/Homens_MR/RWMR70DT.zip
RWMR81DT.zip,RW,Ruanda,MR,Homens (Men's Recode),"Dados individuais de homens (15-49/59 anos), trabalho, saúde e conhecimentos reprodutivos.",Homens_MR,81,Stata (.dta),554,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWMR81DT.zip&Tp=1&Ctry_Code=RW&surv_id=554&dm=1&dmode=nm,Ruanda/Homens_MR/RWMR81DT.zip
RWMR91DT.zip,RW,Ruanda,MR,Homens (Men's Recode),"Dados individuais de homens (15-49/59 anos), trabalho, saúde e conhecimentos reprodutivos.",Homens_MR,91,Stata (.dta),624,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWMR91DT.zip&Tp=1&Ctry_Code=RW&surv_id=624&dm=1&dmode=nm,Ruanda/Homens_MR/RWMR91DT.zip
RWPR21DT.zip,RW,Ruanda,PR,Moradores (Household Member Recode),"Informações demográficas de todos os moradores do domicílio (idade, sexo, educação).",Moradores_PR,21,Stata (.dta),43,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWPR21DT.zip&Tp=1&Ctry_Code=RW&surv_id=43&dm=1&dmode=nm,Ruanda/Moradores_PR/RWPR21DT.zip
RWPR41DT.zip,RW,Ruanda,PR,Moradores (Household Member Recode),"Informações demográficas de todos os moradores do domicílio (idade, sexo, educação).",Moradores_PR,41,Stata (.dta),165,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWPR41DT.zip&Tp=1&Ctry_Code=RW&surv_id=165&dm=1&dmode=nm,Ruanda/Moradores_PR/RWPR41DT.zip
RWPR53DT.zip,RW,Ruanda,PR,Moradores (Household Member Recode),"Informações demográficas de todos os moradores do domicílio (idade, sexo, educação).",Moradores_PR,53,Stata (.dta),252,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWPR53DT.zip&Tp=1&Ctry_Code=RW&surv_id=252&dm=1&dmode=nm,Ruanda/Moradores_PR/RWPR53DT.zip
RWPR5ADT.zip,RW,Ruanda,PR,Moradores (Household Member Recode),"Informações demográficas de todos os moradores do domicílio (idade, sexo, educação).",Moradores_PR,5A,Stata (.dta),323,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWPR5ADT.zip&Tp=1&Ctry_Code=RW&surv_id=323&dm=1&dmode=nm,Ruanda/Moradores_PR/RWPR5ADT.zip
RWPR61DT.zip,RW,Ruanda,PR,Moradores (Household Member Recode),"Informações demográficas de todos os moradores do domicílio (idade, sexo, educação).",Moradores_PR,61,Stata (.dta),364,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWPR61DT.zip&Tp=1&Ctry_Code=RW&surv_id=364&dm=1&dmode=nm,Ruanda/Moradores_PR/RWPR61DT.zip
RWPR6IDT.zip,RW,Ruanda,PR,Moradores (Household Member Recode),"Informações demográficas de todos os moradores do domicílio (idade, sexo, educação).",Moradores_PR,6I,Stata (.dta),449,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWPR6IDT.zip&Tp=1&Ctry_Code=RW&surv_id=449&dm=1&dmode=nm,Ruanda/Moradores_PR/RWPR6IDT.zip
RWPR70DT.zip,RW,Ruanda,PR,Moradores (Household Member Recode),"Informações demográficas de todos os moradores do domicílio (idade, sexo, educação).",Moradores_PR,70,Stata (.dta),468,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWPR70DT.zip&Tp=1&Ctry_Code=RW&surv_id=468&dm=1&dmode=nm,Ruanda/Moradores_PR/RWPR70DT.zip
RWPR7ADT.zip,RW,Ruanda,PR,Moradores (Household Member Recode),"Informações demográficas de todos os moradores do domicílio (idade, sexo, educação).",Moradores_PR,7A,Stata (.dta),540,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWPR7ADT.zip&Tp=1&Ctry_Code=RW&surv_id=540&dm=1&dmode=nm,Ruanda/Moradores_PR/RWPR7ADT.zip
RWPR81DT.zip,RW,Ruanda,PR,Moradores (Household Member Recode),"Informações demográficas de todos os moradores do domicílio (idade, sexo, educação).",Moradores_PR,81,Stata (.dta),554,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWPR81DT.zip&Tp=1&Ctry_Code=RW&surv_id=554&dm=1&dmode=nm,Ruanda/Moradores_PR/RWPR81DT.zip
RWPR8ADT.zip,RW,Ruanda,PR,Moradores (Household Member Recode),"Informações demográficas de todos os moradores do domicílio (idade, sexo, educação).",Moradores_PR,8A,Stata (.dta),607,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWPR8ADT.zip&Tp=1&Ctry_Code=RW&surv_id=607&dm=1&dmode=nm,Ruanda/Moradores_PR/RWPR8ADT.zip
RWPR91DT.zip,RW,Ruanda,PR,Moradores (Household Member Recode),"Informações demográficas de todos os moradores do domicílio (idade, sexo, educação).",Moradores_PR,91,Stata (.dta),624,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWPR91DT.zip&Tp=1&Ctry_Code=RW&surv_id=624&dm=1&dmode=nm,Ruanda/Moradores_PR/RWPR91DT.zip
RWWI21DT.zip,RW,Ruanda,WI,Índice de Riqueza (Wealth Index),Pontuação e quintil do índice de riqueza socioeconômica.,Riqueza_WI,21,Stata (.dta),43,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWWI21DT.zip&Tp=1&Ctry_Code=RW&surv_id=43&dm=1&dmode=nm,Ruanda/Riqueza_WI/RWWI21DT.zip
RWWI42DT.zip,RW,Ruanda,WI,Índice de Riqueza (Wealth Index),Pontuação e quintil do índice de riqueza socioeconômica.,Riqueza_WI,42,Stata (.dta),165,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWWI42DT.zip&Tp=1&Ctry_Code=RW&surv_id=165&dm=1&dmode=nm,Ruanda/Riqueza_WI/RWWI42DT.zip
STBR51DT.zip,ST,São Tomé e Príncipe,BR,Nascimentos (Births Recode),"Histórico de nascimentos das mulheres entrevistadas, partos, peso ao nascer e mortalidade infantil.",Nascimentos_BR,51,Stata (.dta),318,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=STBR51DT.zip&Tp=1&Ctry_Code=ST&surv_id=318&dm=1&dmode=nm,São Tomé e Príncipe/Nascimentos_BR/STBR51DT.zip
STCR51DT.zip,ST,São Tomé e Príncipe,CR,Casais (Couples Recode),Dados conjuntos de casais casados ou vivendo em união estável.,Casais_CR,51,Stata (.dta),318,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=STCR51DT.zip&Tp=1&Ctry_Code=ST&surv_id=318&dm=1&dmode=nm,São Tomé e Príncipe/Casais_CR/STCR51DT.zip
STHR51DT.zip,ST,São Tomé e Príncipe,HR,Domicílios (Household Recode),"Características do domicílio, saneamento básico, fontes de água, bens e bens duráveis.",Domicilios_HR,51,Stata (.dta),318,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=STHR51DT.zip&Tp=1&Ctry_Code=ST&surv_id=318&dm=1&dmode=nm,São Tomé e Príncipe/Domicilios_HR/STHR51DT.zip
STIR51DT.zip,ST,São Tomé e Príncipe,IR,Mulheres (Individual Recode),"Dados individuais de mulheres (15-49 anos). Inclui saúde reprodutiva, maternidade, pré-natal, etc. [BÔNUS SAÚDE DA MULHER]",Saude_da_Mulher_IR,51,Stata (.dta),318,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=STIR51DT.zip&Tp=1&Ctry_Code=ST&surv_id=318&dm=1&dmode=nm,São Tomé e Príncipe/Saude_da_Mulher_IR/STIR51DT.zip
