country,file,stem,recode,women_health_category,women_health_role,phase_version,variables,catalog_filename,survey_id,data_label
Camarões,CMHR22FL.DTA,CMHR22FL,HR,domicilio_contexto,"Domicílio, saneamento, bens e contexto",22,919,CMHR22DT.zip,38,
Camarões,CMHR31FL.DTA,CMHR31FL,HR,domicilio_contexto,"Domicílio, saneamento, bens e contexto",31,1007,CMHR31DT.zip,101,
Camarões,CMHR44FL.dta,CMHR44FL,HR,domicilio_contexto,"Domicílio, saneamento, bens e contexto",44,3768,CMHR44DT.zip,232,
Camarões,CMHR61FL.DTA,CMHR61FL,HR,domicilio_contexto,"Domicílio, saneamento, bens e contexto",61,8209,CMHR61DT.zip,337,
Camarões,CMHR71FL.DTA,CMHR71FL,HR,domicilio_contexto,"Domicílio, saneamento, bens e contexto",71,5741,CMHR71DT.zip,511,
Camarões,CMHR82FL.DTA,CMHR82FL,HR,domicilio_contexto,"Domicílio, saneamento, bens e contexto",82,3475,CMHR82DT.zip,563,
Camarões,CMMR21FL.DTA,CMMR21FL,MR,casal_parceiro,Informações masculinas relacionadas ao casal,21,288,CMMR21DT.zip,38,
Camarões,CMMR31FL.DTA,CMMR31FL,MR,casal_parceiro,Informações masculinas relacionadas ao casal,31,517,CMMR31DT.zip,101,
Camarões,CMMR44FL.dta,CMMR44FL,MR,casal_parceiro,Informações masculinas relacionadas ao casal,44,1081,CMMR44DT.zip,232,
Camarões,CMMR61FL.DTA,CMMR61FL,MR,casal_parceiro,Informações masculinas relacionadas ao casal,61,714,CMMR61DT.zip,337,
Camarões,CMMR71FL.DTA,CMMR71FL,MR,casal_parceiro,Informações masculinas relacionadas ao casal,71,835,CMMR71DT.zip,511,
Camarões,CMPR22FL.DTA,CMPR22FL,PR,moradores_contexto,Moradores do domicílio e composição familiar,22,91,CMPR22DT.zip,38,
Camarões,CMPR31FL.DTA,CMPR31FL,PR,moradores_contexto,Moradores do domicílio e composição familiar,31,89,CMPR31DT.zip,101,
Camarões,CMPR45FL.DTA,CMPR45FL,PR,moradores_contexto,Moradores do domicílio e composição familiar,45,229,CMPR45DT.zip,232,
Camarões,CMPR61FL.DTA,CMPR61FL,PR,moradores_contexto,Moradores do domicílio e composição familiar,61,479,CMPR61DT.zip,337,
Camarões,CMPR71FL.DTA,CMPR71FL,PR,moradores_contexto,Moradores do domicílio e composição familiar,71,394,CMPR71DT.zip,511,
Camarões,CMPR82FL.DTA,CMPR82FL,PR,moradores_contexto,Moradores do domicílio e composição familiar,82,319,CMPR82DT.zip,563,
Camarões,CMBR22FL.dta,CMBR22FL,BR,gestacao_parto,"Nascimentos, gestações e histórico obstétrico",22,645,CMBR22DT.zip,38,
Camarões,CMBR31FL.dta,CMBR31FL,BR,gestacao_parto,"Nascimentos, gestações e histórico obstétrico",31,669,CMBR31DT.zip,101,
Camarões,CMBR44FL.dta,CMBR44FL,BR,gestacao_parto,"Nascimentos, gestações e histórico obstétrico",44,951,CMBR44DT.zip,232,
